matchday,home_0_away_1,points_won,GF,GA,elo_diff,united_win_odds,opp_final_pos,days_since_last_game_united,days_since_last_game_opp,,,,,,,,,,,
2,1,0,2,3,264.04,1.75,17,9,9,,,,,,,,,,,
3,0,0,0,3,-31.12,2.62,4,8,8,,,,,,,,,,,
6,0,1,1,1,259.25,1.57,7,7,7,,,,,,,,,,,
7,1,0,1,3,221.21,1.85,10,7,7,,,,,,,,,,,
9,1,1,2,2,-16.38,5.25,3,14,14,,,,,,,,,,,
12,1,0,1,3,-141.8,8.5,1,8,8,,,,,,,,,,,
13,0,1,0,0,216.99,1.4,12,13,13,,,,,,,,,,,
14,1,1,2,2,240.1,1.95,16,7,7,,,,,,,,,,,
15,0,1,2,2,10.44,2.45,5,4,4,,,,,,,,,,,
17,1,0,1,3,-94.71,6,2,8,11,,,,,,,,,,,
24,0,1,2,2,242.5,1.28,15,10,6,,,,,,,,,,,
27,0,1,0,0,-85.55,3.1,2,15,3,,,,,,,,,,,
30,1,0,0,2,19.81,3,5,8,3,,,,,,,,,,,
33,1,0,1,2,225.92,2,7,3,8,,,,,,,,,,,
35,1,0,0,4,169.31,2.3,8,8,4,,,,,,,,,,,
31,0,0,0,2,-118.89,7.5,1,3,7,,,,,,,,,,,
36,0,1,1,1,31.58,2.7,3,4,7,,,,,,,,,,,
37,1,1,1,1,357.53,1.3,20,7,7,,,,,,,,,,,
38,0,0,0,2,275.11,1.28,18,7,7,,,,,,,,,,,
